age,income,loan_amount,loan_term,credit_score,num_credit_lines,num_delinquencies,employment_years,debt_to_income,home_ownership,loan_purpose,num_inquiries,savings_balance,months_last_delinq,default
59,58822,14317,48,669,13,0,0.2,0.122,MORTGAGE,MEDICAL,2,9438.0,,0
49,21461,9006,60,612,8,0,2.8,0.443,MORTGAGE,PERSONAL,1,6223.0,,0
35,75417,12004,36,724,13,3,8.3,0.152,RENT,DEBT_CONSOLIDATION,2,4063.0,22.0,0
63,133964,7904,48,555,11,0,5.6,0.302,OWN,AUTO,4,2957.0,,0
28,134306,6135,48,672,10,0,0.1,0.438,MORTGAGE,MEDICAL,5,385.0,,0
41,76186,22674,24,644,10,3,1.0,0.227,RENT,PERSONAL,0,15829.0,48.0,0
59,34543,14306,48,577,6,1,1.3,0.339,MORTGAGE,DEBT_CONSOLIDATION,1,279.0,8.0,0
39,22459,12022,12,598,7,0,2.8,0.172,MORTGAGE,DEBT_CONSOLIDATION,0,,,0
43,21160,9367,36,591,12,2,4.4,0.285,OWN,DEBT_CONSOLIDATION,1,4057.0,5.0,0
31,9102,11777,24,661,6,2,,0.314,MORTGAGE,DEBT_CONSOLIDATION,3,5351.0,28.0,0
31,74333,14946,36,690,5,0,2.4,0.342,RENT,DEBT_CONSOLIDATION,1,1692.0,,0
44,46088,44805,48,603,4,1,4.4,0.242,MORTGAGE,MEDICAL,1,24286.0,53.0,0
56,84586,21124,60,579,7,1,2.4,0.246,MORTGAGE,PERSONAL,3,1717.0,1.0,0
60,115476,8380,36,651,4,4,0.8,0.243,RENT,DEBT_CONSOLIDATION,0,3534.0,6.0,0
44,52049,8442,36,499,10,4,3.4,0.234,RENT,HOME_IMPROVEMENT,3,3705.0,55.0,0
23,53507,7569,36,642,10,0,2.0,0.451,MORTGAGE,DEBT_CONSOLIDATION,0,2366.0,,0
42,37101,11610,60,772,10,1,10.0,0.223,MORTGAGE,PERSONAL,0,6177.0,24.0,0
22,39829,7565,36,580,9,0,7.5,0.179,RENT,DEBT_CONSOLIDATION,1,9305.0,,0
44,75893,18627,48,624,5,0,1.1,0.4,OWN,DEBT_CONSOLIDATION,4,3156.0,,0
64,44151,2100,60,727,8,0,0.8,0.292,MORTGAGE,DEBT_CONSOLIDATION,4,8241.0,,0
50,40481,19431,36,704,12,1,2.1,0.46,MORTGAGE,PERSONAL,2,8391.0,20.0,0
58,48485,16200,60,645,13,1,2.7,0.12,OWN,HOME_IMPROVEMENT,1,6104.0,34.0,0
22,83433,32335,60,635,12,0,13.4,0.126,RENT,PERSONAL,1,25840.0,,0
41,32351,24680,60,534,12,2,1.8,0.329,RENT,AUTO,1,29825.0,51.0,0
53,47103,8278,24,681,6,2,10.1,0.184,OWN,PERSONAL,5,2170.0,4.0,0
